GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
petclinic,org.springframework.samples.petclinic,PetclinicInitializer,59,0,0,0,11,0,5,0,5,0
petclinic,org.springframework.samples.petclinic.model,NamedEntity,3,10,0,0,1,4,1,3,1,3
petclinic,org.springframework.samples.petclinic.model,Specialty,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.model,PetType,0,3,0,0,0,1,0,1,0,1
petclinic,org.springframework.samples.petclinic.model,Vets,0,14,0,2,0,4,0,3,0,2
petclinic,org.springframework.samples.petclinic.model,Visit,4,23,0,0,2,10,1,6,1,6
petclinic,org.springframework.samples.petclinic.model,Room,32,0,0,0,13,0,7,0,7,0
petclinic,org.springframework.samples.petclinic.model,BaseEntity,0,17,0,2,0,5,0,5,0,4
petclinic,org.springframework.samples.petclinic.model,Person,0,17,0,0,0,7,0,5,0,5
petclinic,org.springframework.samples.petclinic.model,Owner,71,73,7,3,20,22,8,12,4,11
petclinic,org.springframework.samples.petclinic.model,Pet,75,0,2,0,25,0,14,0,13,0
petclinic,org.springframework.samples.petclinic.model,Vet,26,41,2,2,8,10,3,6,2,5
petclinic,org.springframework.samples.petclinic.service,ClinicServiceImpl,132,0,0,0,40,0,23,0,23,0
petclinic,org.springframework.samples.petclinic.web,OwnerController,197,0,14,0,47,0,17,0,10,0
petclinic,org.springframework.samples.petclinic.web,SpecialtyFormatter,44,0,4,0,10,0,5,0,3,0
petclinic,org.springframework.samples.petclinic.web,PetTypeFormatter,0,44,0,4,0,10,0,5,0,3
petclinic,org.springframework.samples.petclinic.web,RoomController,99,0,2,0,24,0,5,0,4,0
petclinic,org.springframework.samples.petclinic.web,PetController,166,0,12,0,41,0,16,0,10,0
petclinic,org.springframework.samples.petclinic.web,SpecialtyValidator,22,0,2,0,7,0,4,0,3,0
petclinic,org.springframework.samples.petclinic.web,PetValidator,10,31,3,5,2,9,3,4,0,3
petclinic,org.springframework.samples.petclinic.web,VisitController,6,59,0,2,2,17,1,7,1,6
petclinic,org.springframework.samples.petclinic.web,VetController,208,50,24,0,46,13,17,5,5,5
petclinic,org.springframework.samples.petclinic.web,CrashController,0,8,0,0,0,2,0,2,0,2
petclinic,org.springframework.samples.petclinic.util,EntityUtils,10,22,2,4,2,4,3,2,1,1
petclinic,org.springframework.samples.petclinic.util,CallMonitoringAspect,83,0,4,0,24,0,9,0,7,0
